Código,Seq.,Processo,Ref. Externa,MATERIAL,Data do Vencimento,Situação,PRAZO SOLICITADO ,ALFANDEGA,PROCESSO ADM
2998,3,15442,WCRJI23/00612,PNEUS,2024-01-30,SOLICITADO,2024-12-31,GIG,13113.256798/2023-11
2992,3,15409,WCRJI23/00579,PEÇAS ,2024-01-30,SOLICITADO,2024-12-31,PORTO RJ,13113.223925/2023-04
2980,3,15352,WCRJI23/00522,PEÇAS ,2024-01-31,SOLICITADO,2024-12-31,GIG,13113.216566/2023-21
2986,3,15346,WCRJI23/00516,PEÇAS ,2024-02-23,SOLICITADO,2024-12-31,GIG, 13113.185257/2023-00
2987,3,15347,WCRJI23/00517,PNEUS,2024-02-27,SOLICITADO,2024-12-31,PORTO RJ, 13113.177087/2023-81
3024,3,15369,WCRJI23/00539,PEÇAS ,2024-02-28,SOLICITADO,2024-12-31,GIG,13113.191619/2023-93
3231,3,15933,WCRJE23/01103,PEÇAS ,2024-03-15,EXPORTAÇÃO TEMPORARIA,2024-12-31,GIG,13113.188837/2023-41
2967,3,15158,WCRJI23/00328,PEÇAS ,2024-05-21,SOLICITADO,2024-12-31,,
3212,3,15780,WCRJI23/00950,PEÇAS ,2024-12-30,NO PRAZO DO EVENTO,2024-12-31,,
3071,3,15754,WCRJI23/00924,PEÇAS ,2024-12-31,NO PRAZO DO EVENTO,2024-12-31,,
3023,4,15548,WCRJI23/00718,PEÇAS ,2024-01-30,SOLICITADO,,,
2974,4,15291,WCRJI23/00461,PNEUS,2024-01-30,SOLICITADO,2024-12-31,,
2977,5,15331,WCRJI23/00501,PEÇAS ,2024-01-30,SOLICITADO,,,
2997,5,15452,WCRJI23/00622,PNEUS,2024-02-26,SOLICITADO,,,
3215,7,15594,WCRJI23/00764,PEÇAS ,2024-11-17,NO PRAZO DO EVENTO,,,
3213,7,15586,WCRJI23/00756,"CARRO, MOTORES E CAMBIO",2024-11-17,NO PRAZO DO EVENTO,,,
3025,7,15393,WCRJI23/00563,CAMERAS,2024-11-17,NO PRAZO DO EVENTO,,,
3012,7,15509,WCRJI23/00679,PEÇAS ,2024-11-17,NO PRAZO DO EVENTO,,,
3214,11,15596,WCRJI23/00766,PNEUS E RODAS,2024-11-17,NO PRAZO DO EVENTO,,,
3211,11,15737,WCRJI23/00907,PNEUS,2024-12-17,NO PRAZO DO EVENTO,,,
3065,11,15731,WCRJI23/00901,PNEUS,2024-12-17,NO PRAZO DO EVENTO,,,
3206,12,14415,WCRJI22/00323,CARROS ,2024-11-17,NO PRAZO DO EVENTO,,,
3026,15,15508,WCRJI23/00678,PEÇAS ,2024-11-17,NO PRAZO DO EVENTO,,,
2618,19,14515,WCRJI22/00423,PEÇAS ,2025-01-20,NO PRAZO DO EVENTO,,,
2551,31,14436,WCRJI22/00344,PEÇAS ,2024-11-17,NO PRAZO DO EVENTO,,,
2550,35,14416,WCRJI22/00324,RODA,2024-11-17,NO PRAZO DO EVENTO,,,
